검사일시,생산라인,온도,진동,회전수,압력
2026-08-26 12:00,C라인,0.948,0.993,0.997,0.697
2026-08-26 08:00,C라인,0.955,0.502,0.963,0.74
2026-08-26 17:00,C라인,0.999,0.916,0.973,0.695
2026-08-24 20:00,C라인,0.9,0.949,0.973,0.762
2026-08-24 16:00,A라인,0.102,0.011,0.01,0.067
2026-08-26 04:00,C라인,0.97,0.88,0.981,0.683
2026-08-26 14:00,B라인,0.539,0.56,0.475,0.368
2026-08-25 15:00,B라인,0.609,0.505,0.531,0.406
2026-08-26 06:00,A라인,0.115,0.051,0.061,0.048
2026-08-26 03:00,B라인,0.504,0.48,0.481,0.423
2026-08-25 23:00,B라인,0.519,0.52,0.505,0.358
2026-08-24 12:00,B라인,0.543,0.462,0.527,0.464
2026-08-25 23:00,A라인,0.062,0.084,0.068,0.082
2026-08-25 16:00,C라인,0.9,0.931,0.946,0.736
2026-08-24 17:00,A라인,0.937,0.058,0.01,0.067
2026-08-25 01:00,B라인,0.607,0.498,0.517,0.389
2026-08-24 22:00,B라인,0.526,0.469,0.485,0.387
2026-08-25 16:00,B라인,0.501,0.509,0.537,0.442
2026-08-24 22:00,C라인,0.902,0.996,0.964,0.712
2026-08-25 05:00,B라인,0.56,0.491,0.535,0.442
2026-08-26 07:00,B라인,0.617,0.458,0.535,0.418
2026-08-26 15:00,A라인,0.0,0.076,0.017,0.048
2026-08-24 22:00,A라인,0.027,0.087,0.028,0.406
2026-08-25 18:00,B라인,0.531,0.516,0.497,0.377
2026-08-25 07:00,B라인,0.502,0.491,0.467,0.385
2026-08-24 07:00,C라인,0.948,0.905,0.938,0.683
2026-08-25 08:00,B라인,0.619,0.502,0.504,0.37
2026-08-26 10:00,C라인,0.958,0.898,0.976,0.406
2026-08-25 15:00,A라인,0.035,0.116,0.057,0.06
2026-08-25 09:00,B라인,0.515,0.502,0.529,0.394
2026-08-25 00:00,C라인,0.919,0.975,1.0,0.714
2026-08-26 00:00,B라인,0.528,0.545,0.523,0.423
2026-08-25 02:00,C라인,0.89,0.978,0.971,0.697
2026-08-24 10:00,B라인,0.599,0.469,0.509,0.397
2026-08-24 09:00,C라인,1.0,0.978,0.932,0.712
2026-08-25 18:00,A라인,0.087,0.12,0.0,0.058
2026-08-25 04:00,B라인,0.506,0.48,0.499,0.462
2026-08-25 14:00,A라인,0.113,0.073,0.019,0.091
2026-08-26 11:00,C라인,0.926,0.942,0.952,0.7
2026-08-24 17:00,B라인,0.519,0.564,0.505,0.447
2026-08-25 11:00,A라인,0.113,0.044,0.062,0.034
2026-08-24 21:00,B라인,0.539,0.487,0.519,0.387
2026-08-24 20:00,A라인,0.016,0.102,0.07,0.055
2026-08-26 10:00,B라인,0.518,0.491,0.479,0.397
2026-08-25 22:00,C라인,0.897,0.873,0.994,0.75
2026-08-26 02:00,C라인,0.886,0.927,0.985,0.745
2026-08-26 08:00,A라인,0.81,0.098,0.069,0.089
2026-08-26 08:00,B라인,0.553,0.487,0.509,0.38
2026-08-24 07:00,B라인,0.511,0.564,0.517,0.416
2026-08-25 20:00,B라인,0.503,0.444,0.504,0.423
2026-08-26 04:00,A라인,0.02,0.069,0.028,0.075
2026-08-26 12:00,B라인,0.575,0.465,0.512,0.442
2026-08-26 13:00,B라인,0.536,0.549,0.502,0.411
2026-08-26 06:00,B라인,0.597,0.567,0.524,0.413
2026-08-25 16:00,A라인,0.063,0.073,0.006,0.058
2026-08-24 07:00,A라인,0.087,0.073,0.057,0.07
2026-08-24 18:00,B라인,0.536,0.455,0.525,0.457
2026-08-25 08:00,C라인,0.975,0.887,0.94,0.714
2026-08-25 15:00,C라인,0.89,0.924,0.968,0.762
2026-08-25 06:00,A라인,0.07,0.113,0.027,0.053
2026-08-24 11:00,A라인,0.029,0.044,0.028,0.096
2026-08-24 18:00,C라인,0.942,0.993,0.933,0.719
2026-08-25 06:00,C라인,0.998,0.975,0.951,0.733
2026-08-24 20:00,B라인,0.6,0.469,0.524,0.442
2026-08-26 09:00,C라인,0.895,0.924,0.959,0.755
2026-08-26 10:00,A라인,0.017,0.127,0.025,0.022
2026-08-25 21:00,B라인,0.581,0.458,0.477,0.365
2026-08-26 13:00,C라인,0.885,0.902,0.941,0.748
2026-08-26 15:00,C라인,1.0,0.913,0.963,0.695
2026-08-24 09:00,B라인,0.599,0.458,0.496,0.435
2026-08-26 16:00,A라인,0.042,0.04,0.042,0.082
2026-08-25 03:00,C라인,0.9,0.88,0.993,0.685
2026-08-26 02:00,B라인,0.546,0.538,0.511,0.433
2026-08-26 07:00,A라인,0.069,0.015,0.047,0.034
2026-08-24 23:00,C라인,0.965,0.931,0.975,0.752
2026-08-26 17:00,B라인,0.608,0.491,0.484,0.442
2026-08-25 01:00,A라인,0.002,0.087,0.033,0.053
2026-08-24 15:00,C라인,0.98,0.993,0.976,0.774
2026-08-25 00:00,A라인,0.11,0.113,0.037,0.01
2026-08-24 18:00,A라인,0.062,0.007,0.069,0.06
2026-08-24 06:00,C라인,0.923,0.956,0.988,0.769
2026-08-24 10:00,C라인,0.887,0.876,0.937,0.738
2026-08-24 08:00,B라인,0.544,0.542,0.489,0.382
2026-08-24 14:00,C라인,0.964,0.935,0.985,0.774
2026-08-25 13:00,B라인,0.566,0.56,0.474,0.392
2026-08-26 15:00,B라인,0.571,0.458,0.51,0.411
2026-08-25 22:00,A라인,0.025,0.029,0.062,0.007
2026-08-26 17:00,A라인,0.023,0.102,0.057,0.014
2026-08-25 04:00,A라인,0.033,0.011,0.017,0.065
2026-08-24 11:00,B라인,0.59,0.48,0.518,0.382
2026-08-25 12:00,C라인,0.912,0.985,0.94,1.0
2026-08-26 14:00,A라인,0.046,0.007,0.051,0.041
2026-08-25 15:00,B라인,0.61,0.505,0.531,0.401
2026-08-25 14:00,B라인,0.548,0.451,0.504,0.438
2026-08-24 12:00,C라인,0.951,0.953,0.948,0.704
