수집시각,구역,CPU온도,전력,응답시간,메모리
2026-08-25 00:00,Z2-브라보,0.5439,0.4862,0.5375,0.4091
2026-08-25 00:00,Z3-찰리,0.9413,0.9322,0.9178,0.6289
2026-08-25 01:00,Z1-알파,0.5213,0.1462,0.0625,0.2366
2026-08-25 01:00,Z2-브라보,0.5034,0.4966,0.5033,0.4086
2026-08-25 01:00,Z3-찰리,0.872,0.8437,0.8625,0.5693
2026-08-25 02:00,Z1-알파,0.0908,0.1196,0.0495,0.1723
2026-08-25 02:00,Z2-브라보,0.5046,0.4846,0.5331,0.4634
2026-08-25 02:00,Z3-찰리,0.8598,0.9393,0.8989,0.6
2026-08-25 03:00,Z1-알파,0.1144,0.0259,0.1615,0.2268
2026-08-25 03:00,Z2-브라보,0.4937,0.5454,0.4313,0.4793
2026-08-25 03:00,Z3-찰리,0.2732,0.9198,0.8509,0.588
2026-08-25 04:00,Z1-알파,0.06,0.1438,0.1353,0.173
2026-08-25 04:00,Z2-브라보,0.4789,0.5138,0.4953,0.387
2026-08-25 04:00,Z3-찰리,0.9675,0.8386,0.9236,0.6073
2026-08-25 05:00,Z1-알파,0.0393,0.0766,0.0,0.2495
2026-08-25 05:00,Z2-브라보,0.5186,0.5353,0.4618,0.4684
2026-08-25 06:00,Z1-알파,0.0034,0.063,0.0473,0.2141
2026-08-25 06:00,Z2-브라보,0.4307,0.5483,0.5164,0.3625
2026-08-25 06:00,Z3-찰리,0.9282,0.9676,1.0,0.6195
2026-08-25 07:00,Z1-알파,0.7166,0.1738,0.1425,0.2666
2026-08-25 07:00,Z2-브라보,0.5186,0.5156,0.4924,0.3998
2026-08-25 07:00,Z3-찰리,0.9253,0.9671,0.9229,0.6102
2026-08-25 08:00,Z1-알파,0.0714,0.0895,0.1324,0.1923
2026-08-25 08:00,Z2-브라보,0.5144,0.5694,0.4669,0.417
2026-08-25 08:00,Z3-찰리,0.981,0.8315,0.912,0.6284
2026-08-25 09:00,Z1-알파,0.0659,0.0662,0.0662,0.2293
2026-08-25 09:00,Z2-브라보,0.503,0.521,0.5745,0.4025
2026-08-25 09:00,Z3-찰리,0.9185,0.9205,0.8378,0.6023
2026-08-25 10:00,Z1-알파,0.0997,0.0027,0.1316,0.2309
2026-08-25 10:00,Z2-브라보,0.5228,0.5002,0.5011,0.3814
2026-08-25 10:00,Z3-찰리,0.9924,0.9381,0.9927,0.5761
2026-08-25 11:00,Z1-알파,0.0401,0.0197,0.0807,0.2202
2026-08-25 11:00,Z2-브라보,0.5213,0.4574,0.5527,0.3693
2026-08-25 11:00,Z3-찰리,0.9405,0.9439,0.9273,0.6084
2026-08-25 12:00,Z1-알파,0.0633,0.101,0.128,0.2561
2026-08-25 12:00,Z2-브라보,0.5118,0.585,0.5156,0.3395
2026-08-25 12:00,Z3-찰리,0.9155,0.8572,0.9469,0.6484
2026-08-25 13:00,Z1-알파,0.1263,0.1157,0.1375,0.0
2026-08-25 13:00,Z2-브라보,0.4455,0.56,0.4684,0.4532
2026-08-25 13:00,Z3-찰리,0.9105,0.8421,0.9295,0.5823
2026-08-25 14:00,Z1-알파,0.038,0.125,0.0451,0.2327
2026-08-25 14:00,Z2-브라보,0.4569,0.4952,0.5084,0.4764
2026-08-25 14:00,Z3-찰리,0.9535,0.9142,0.9338,0.6218
2026-08-25 15:00,Z1-알파,0.5213,0.0616,0.0727,0.2189
2026-08-25 15:00,Z2-브라보,0.4692,0.5106,0.4822,0.3952
2026-08-25 15:00,Z3-찰리,0.9607,0.9159,0.9716,0.6395
2026-08-25 16:00,Z1-알파,0.1377,0.0733,0.0516,0.2005
2026-08-25 16:00,Z2-브라보,0.4464,0.4739,0.3825,0.4605
2026-08-25 16:00,Z3-찰리,0.8822,0.9058,0.8916,0.6057
2026-08-25 17:00,Z1-알파,0.171,0.1327,0.04,0.2745
2026-08-25 17:00,Z2-브라보,0.4472,0.4729,0.544,0.4611
2026-08-25 17:00,Z3-찰리,0.9932,0.8804,0.9178,0.6607
2026-08-25 18:00,Z1-알파,0.1098,0.0384,0.1665,0.2198
2026-08-25 18:00,Z2-브라보,0.4464,0.4512,0.5796,0.4598
2026-08-25 19:00,Z1-알파,0.0241,0.0,0.0211,0.2082
2026-08-25 19:00,Z2-브라보,0.5579,0.4649,0.5971,0.4659
2026-08-25 19:00,Z3-찰리,0.9375,0.9451,0.8989,0.6123
2026-08-25 20:00,Z1-알파,0.0815,0.1042,0.0829,0.2618
2026-08-25 20:00,Z2-브라보,0.5579,0.4843,0.4676,0.4239
2026-08-25 20:00,Z3-찰리,1.0,0.8506,0.9505,0.5739
2026-08-25 21:00,Z1-알파,0.0857,0.1189,0.0895,0.2148
2026-08-25 21:00,Z2-브라보,0.4662,0.532,0.5527,0.4814
2026-08-25 21:00,Z3-찰리,0.8505,0.8522,0.9796,0.6109
2026-08-25 22:00,Z1-알파,0.7166,0.0198,0.0087,0.22
2026-08-25 22:00,Z2-브라보,0.5186,0.438,0.4124,0.4034
2026-08-25 22:00,Z2-브라보,0.5198,0.438,0.4124,0.4041
2026-08-25 22:00,Z3-찰리,0.9227,0.844,0.9425,0.6136
2026-08-25 23:00,Z1-알파,0.0794,0.2014,0.0982,0.1977
2026-08-25 23:00,Z2-브라보,0.511,0.4985,0.5615,0.4332
2026-08-25 23:00,Z3-찰리,0.9278,0.8932,0.9738,0.6368
2026-08-26 00:00,Z1-알파,0.1208,0.072,0.1055,0.2507
2026-08-26 00:00,Z2-브라보,0.5777,0.4733,0.496,0.4041
2026-08-26 00:00,Z3-찰리,0.9878,0.9813,0.9222,0.4041
2026-08-26 01:00,Z1-알파,0.0562,0.0622,0.0996,0.2486
2026-08-26 01:00,Z2-브라보,0.4324,0.4863,0.5724,0.4445
2026-08-26 01:00,Z3-찰리,0.9413,0.9607,0.8385,0.6539
2026-08-26 02:00,Z1-알파,0.0,0.1722,0.0793,0.1907
2026-08-26 02:00,Z2-브라보,0.5021,0.597,0.5353,0.3491
2026-08-26 02:00,Z3-찰리,0.9316,0.8872,0.9127,0.6527
2026-08-26 03:00,Z1-알파,0.0405,0.0686,0.1607,0.1861
2026-08-26 03:00,Z2-브라보,0.4704,0.4481,0.4495,0.3411
2026-08-26 03:00,Z3-찰리,0.8813,0.8844,0.8735,0.6382
2026-08-26 04:00,Z1-알파,0.1178,0.0633,0.1105,0.24
2026-08-26 04:00,Z2-브라보,0.4958,0.5169,0.4778,0.4041
2026-08-26 04:00,Z3-찰리,0.9628,0.9735,0.8327,1.0
2026-08-26 05:00,Z1-알파,0.5213,0.0303,0.0545,0.247
2026-08-26 05:00,Z2-브라보,0.4924,0.5464,0.4698,0.453
2026-08-26 05:00,Z3-찰리,0.9447,0.8552,0.784,0.5784
2026-08-26 06:00,Z1-알파,0.0925,0.1333,0.2022,0.208
2026-08-26 06:00,Z2-브라보,0.4603,0.4612,0.528,0.4045
2026-08-26 06:00,Z3-찰리,0.9054,0.9542,0.9433,0.5923
2026-08-26 07:00,Z1-알파,0.0532,0.0613,0.168,0.2423
2026-08-26 07:00,Z2-브라보,0.5338,0.5019,0.5607,0.3573
2026-08-26 07:00,Z3-찰리,0.978,0.9217,0.9229,0.5855
2026-08-26 08:00,Z1-알파,0.1284,0.1504,0.0582,0.2686
2026-08-26 08:00,Z2-브라보,0.541,0.5397,0.3993,0.4384
2026-08-26 08:00,Z3-찰리,0.9455,0.5002,0.8676,0.5818
2026-08-26 09:00,Z1-알파,0.7166,0.0771,0.0407,0.1995
2026-08-26 09:00,Z2-브라보,0.4269,0.5353,0.4531,0.4216
2026-08-26 09:00,Z3-찰리,0.8813,0.9476,0.8785,0.6386
2026-08-26 10:00,Z1-알파,0.1085,0.0527,0.1338,0.2559
2026-08-26 10:00,Z2-브라보,0.5574,0.4533,0.5185,0.375
2026-08-26 10:00,Z3-찰리,0.8898,0.8379,0.8487,0.5811
2026-08-26 11:00,Z1-알파,0.0545,0.1725,0.1862,0.1959
2026-08-26 11:00,Z2-브라보,0.5532,0.5366,0.4582,0.4268
2026-08-26 11:00,Z3-찰리,0.8416,0.887,0.792,0.5557
2026-08-26 12:00,Z1-알파,0.0621,0.15,0.096,0.2393
2026-08-26 12:00,Z2-브라보,0.4844,0.4345,0.4822,0.475
2026-08-26 12:00,Z3-찰리,0.5213,0.8057,0.952,0.6777
2026-08-26 13:00,Z1-알파,0.1372,0.0624,0.08,0.2214
2026-08-26 13:00,Z2-브라보,0.5236,0.4683,0.4895,0.3595
2026-08-26 13:00,Z3-찰리,0.864,0.9862,0.8785,0.6318
2026-08-26 14:00,Z1-알파,0.0439,0.0729,0.0815,0.2398
2026-08-26 14:00,Z2-브라보,0.5633,0.4619,0.5047,0.3391
2026-08-26 14:00,Z3-찰리,0.9565,0.9267,0.9615,0.6214
2026-08-26 15:00,Z1-알파,0.1199,0.1392,0.0778,0.4041
2026-08-26 15:00,Z2-브라보,0.4975,0.4681,0.5244,0.3675
2026-08-26 15:00,Z3-찰리,0.905,0.8794,0.8524,0.5768
2026-08-26 16:00,Z1-알파,0.0448,0.0556,0.0829,0.1911
2026-08-26 16:00,Z2-브라보,0.4852,0.4169,0.4895,0.3818
2026-08-26 16:00,Z3-찰리,0.8957,1.0,0.7985,0.6161
2026-08-26 17:00,Z1-알파,0.1225,0.0595,0.0305,0.1716
2026-08-26 17:00,Z2-브라보,0.5663,0.5178,0.5185,0.4245
2026-08-26 17:00,Z3-찰리,0.9586,0.925,0.9265,0.6482
2026-08-26 18:00,Z1-알파,0.1056,0.0353,0.088,0.2409
2026-08-26 18:00,Z2-브라보,0.4903,0.5578,0.4255,0.4314
2026-08-26 18:00,Z3-찰리,0.943,0.956,0.928,0.5934
2026-08-26 19:00,Z1-알파,0.0954,0.105,0.0691,0.278
2026-08-26 19:00,Z2-브라보,0.4844,0.5425,0.4698,0.3745
2026-08-26 19:00,Z3-찰리,0.9785,0.8171,0.8407,0.6139
